vote,education,age
leave,3.0,60
leave,,56
stay,5.0,73
leave,4.0,64
don't know,2.0,68
stay,4.0,85
leave,3.0,78
leave,2.0,51
leave,3.0,59
leave,4.0,68
stay,4.0,53
leave,4.0,52
leave,4.0,70
leave,4.0,39
leave,,48
leave,3.0,65
stay,2.0,53
stay,2.0,59
leave,,50
stay,4.0,61
leave,2.0,81
leave,4.0,55
leave,2.0,65
stay,5.0,45
leave,2.0,75
leave,,36
stay,4.0,43
leave,4.0,68
leave,4.0,58
leave,4.0,61
stay,4.0,76
stay,3.0,56
stay,,71
leave,4.0,34
stay,5.0,37
leave,5.0,62
stay,3.0,50
stay,5.0,46
stay,4.0,65
stay,5.0,69
leave,4.0,48
stay,3.0,54
stay,5.0,42
leave,2.0,78
stay,3.0,68
leave,,57
stay,2.0,64
stay,4.0,59
stay,4.0,70
stay,2.0,68
leave,,53
leave,4.0,60
leave,2.0,48
leave,2.0,71
stay,3.0,63
leave,2.0,78
leave,4.0,63
leave,1.0,65
stay,3.0,62
stay,4.0,65
leave,4.0,53
leave,3.0,64
stay,4.0,71
stay,4.0,38
leave,2.0,70
leave,3.0,52
leave,2.0,36
stay,4.0,62
stay,5.0,37
stay,4.0,52
leave,4.0,71
leave,4.0,59
stay,2.0,57
stay,3.0,76
leave,5.0,65
stay,4.0,57
stay,4.0,67
leave,5.0,35
won't vote,3.0,38
leave,2.0,64
leave,1.0,79
stay,,58
leave,2.0,50
leave,3.0,49
leave,1.0,64
stay,2.0,54
leave,5.0,70
stay,4.0,38
stay,3.0,46
stay,4.0,48
don't know,4.0,64
leave,4.0,64
stay,2.0,78
stay,4.0,72
stay,4.0,53
stay,4.0,52
stay,4.0,69
leave,3.0,67
leave,2.0,63
leave,2.0,68
stay,4.0,42
stay,3.0,74
don't know,2.0,67
stay,4.0,64
stay,5.0,39
don't know,4.0,45
leave,5.0,70
leave,,72
stay,4.0,72
stay,4.0,43
leave,3.0,69
leave,,72
don't know,4.0,49
stay,2.0,54
leave,,79
stay,4.0,48
leave,2.0,59
leave,,54
stay,4.0,64
stay,5.0,45
stay,2.0,64
leave,2.0,57
don't know,,70
leave,2.0,58
leave,4.0,77
leave,2.0,58
stay,4.0,48
stay,4.0,48
don't know,4.0,47
stay,3.0,43
leave,2.0,50
leave,4.0,57
leave,4.0,64
leave,4.0,52
don't know,3.0,71
stay,4.0,63
leave,4.0,71
stay,1.0,58
won't vote,4.0,44
leave,3.0,45
leave,5.0,36
leave,1.0,69
stay,1.0,60
leave,2.0,52
stay,2.0,63
leave,3.0,70
stay,4.0,55
leave,3.0,38
stay,4.0,67
stay,4.0,45
leave,3.0,74
leave,2.0,50
leave,3.0,50
stay,3.0,58
leave,2.0,68
stay,3.0,54
leave,3.0,67
leave,,69
leave,2.0,76
stay,4.0,34
leave,3.0,70
stay,4.0,59
stay,1.0,72
leave,4.0,58
stay,4.0,55
stay,3.0,80
leave,4.0,72
leave,5.0,73
stay,4.0,66
stay,4.0,68
leave,4.0,52
leave,4.0,61
leave,3.0,48
leave,3.0,60
leave,2.0,74
leave,2.0,47
stay,5.0,33
stay,3.0,65
leave,3.0,46
stay,5.0,60
stay,4.0,65
stay,2.0,53
stay,4.0,76
stay,4.0,38
stay,4.0,69
don't know,4.0,60
leave,1.0,70
leave,3.0,55
stay,5.0,62
don't know,2.0,45
stay,2.0,76
won't vote,2.0,57
leave,5.0,72
stay,4.0,40
leave,2.0,67
leave,2.0,57
stay,4.0,69
stay,4.0,74
leave,,48
stay,3.0,54
stay,3.0,33
leave,2.0,59
leave,,78
stay,4.0,69
stay,4.0,73
stay,3.0,75
stay,4.0,54
stay,4.0,61
stay,4.0,65
leave,4.0,52
stay,4.0,45
stay,4.0,54
stay,4.0,54
leave,2.0,66
stay,5.0,64
leave,3.0,56
don't know,4.0,73
leave,4.0,37
stay,4.0,60
stay,4.0,37
leave,4.0,57
stay,1.0,60
stay,,56
stay,,59
leave,2.0,59
stay,5.0,42
stay,4.0,37
leave,4.0,66
leave,,63
stay,4.0,32
stay,3.0,59
stay,4.0,38
stay,4.0,72
leave,5.0,54
leave,,74
stay,1.0,73
stay,2.0,59
leave,,65
stay,5.0,38
stay,5.0,78
leave,,61
don't know,2.0,58
stay,4.0,61
stay,4.0,69
leave,4.0,68
stay,5.0,63
stay,4.0,58
stay,3.0,77
stay,3.0,71
leave,4.0,47
don't know,1.0,83
stay,4.0,41
stay,3.0,34
leave,,51
leave,5.0,68
stay,4.0,60
stay,2.0,43
stay,5.0,71
stay,4.0,48
leave,5.0,72
leave,2.0,68
leave,4.0,77
stay,5.0,58
leave,4.0,47
leave,,40
don't know,4.0,46
leave,2.0,69
leave,,66
leave,4.0,72
stay,4.0,77
leave,3.0,36
stay,2.0,68
stay,3.0,54
stay,4.0,36
don't know,5.0,67
leave,3.0,64
leave,5.0,43
leave,2.0,65
stay,4.0,51
leave,4.0,75
stay,1.0,66
leave,3.0,64
leave,3.0,53
leave,4.0,51
stay,5.0,57
stay,4.0,37
leave,3.0,45
leave,4.0,67
won't vote,,50
leave,,80
stay,4.0,62
don't know,4.0,32
stay,4.0,67
stay,5.0,40
stay,2.0,54
stay,,71
leave,1.0,61
stay,4.0,61
leave,2.0,48
leave,2.0,57
stay,3.0,32
stay,4.0,44
leave,4.0,49
stay,4.0,53
leave,5.0,28
don't know,,45
don't know,3.0,60
leave,4.0,65
stay,4.0,37
won't vote,5.0,31
stay,1.0,72
stay,,33
stay,4.0,63
don't know,,69
leave,4.0,59
stay,4.0,51
stay,,64
stay,4.0,43
stay,4.0,69
don't know,5.0,36
leave,,32
leave,2.0,70
stay,4.0,53
leave,2.0,65
leave,3.0,62
stay,3.0,64
stay,3.0,68
leave,4.0,39
stay,4.0,31
stay,4.0,36
leave,4.0,56
leave,4.0,68
stay,4.0,48
stay,,61
leave,1.0,57
stay,4.0,61
leave,,55
stay,4.0,35
stay,3.0,51
stay,4.0,54
don't know,,44
stay,2.0,56
don't know,4.0,34
stay,5.0,36
leave,2.0,71
leave,,58
leave,,40
stay,2.0,58
leave,4.0,53
stay,4.0,48
leave,2.0,43
stay,5.0,69
stay,5.0,44
stay,4.0,56
don't know,1.0,63
leave,,60
leave,4.0,57
leave,3.0,70
leave,5.0,59
stay,3.0,61
stay,4.0,58
stay,4.0,62
stay,3.0,51
leave,4.0,55
stay,4.0,62
stay,4.0,43
stay,3.0,58
stay,4.0,48
stay,5.0,57
stay,5.0,57
leave,4.0,62
stay,5.0,37
leave,4.0,62
leave,2.0,71
leave,5.0,41
stay,4.0,45
leave,4.0,47
leave,4.0,64
stay,4.0,46
stay,4.0,61
leave,4.0,63
stay,4.0,53
leave,4.0,61
leave,,69
stay,4.0,58
stay,4.0,65
leave,5.0,61
stay,4.0,67
stay,3.0,56
stay,5.0,70
leave,5.0,71
stay,4.0,45
leave,4.0,65
leave,4.0,58
leave,5.0,59
stay,3.0,45
don't know,4.0,65
leave,1.0,65
stay,4.0,65
stay,5.0,39
leave,4.0,51
leave,5.0,51
