vote,education,age,leave_column,age_group
leave,3.0,60,True,mid-life
leave,,56,True,mid-life
stay,5.0,73,False,old
leave,4.0,64,True,old
don't know,2.0,68,,old
stay,4.0,85,False,old
leave,3.0,78,True,old
leave,2.0,51,True,mid-life
leave,3.0,59,True,mid-life
leave,4.0,68,True,old
stay,4.0,53,False,mid-life
leave,4.0,52,True,mid-life
leave,4.0,70,True,old
leave,4.0,39,True,mid-life
leave,,48,True,mid-life
leave,3.0,65,True,old
stay,2.0,53,False,mid-life
stay,2.0,59,False,mid-life
leave,,50,True,mid-life
stay,4.0,61,False,old
leave,2.0,81,True,old
leave,4.0,55,True,mid-life
leave,2.0,65,True,old
stay,5.0,45,False,mid-life
leave,2.0,75,True,old
leave,,36,True,mid-life
stay,4.0,43,False,mid-life
leave,4.0,68,True,old
leave,4.0,58,True,mid-life
leave,4.0,61,True,old
stay,4.0,76,False,old
stay,3.0,56,False,mid-life
stay,,71,False,old
leave,4.0,34,True,mid-life
stay,5.0,37,False,mid-life
leave,5.0,62,True,old
stay,3.0,50,False,mid-life
stay,5.0,46,False,mid-life
stay,4.0,65,False,old
stay,5.0,69,False,old
leave,4.0,48,True,mid-life
stay,3.0,54,False,mid-life
stay,5.0,42,False,mid-life
leave,2.0,78,True,old
stay,3.0,68,False,old
leave,,57,True,mid-life
stay,2.0,64,False,old
stay,4.0,59,False,mid-life
stay,4.0,70,False,old
stay,2.0,68,False,old
leave,,53,True,mid-life
leave,4.0,60,True,mid-life
leave,2.0,48,True,mid-life
leave,2.0,71,True,old
stay,3.0,63,False,old
leave,2.0,78,True,old
leave,4.0,63,True,old
leave,1.0,65,True,old
stay,3.0,62,False,old
stay,4.0,65,False,old
leave,4.0,53,True,mid-life
leave,3.0,64,True,old
stay,4.0,71,False,old
stay,4.0,38,False,mid-life
leave,2.0,70,True,old
leave,3.0,52,True,mid-life
leave,2.0,36,True,mid-life
stay,4.0,62,False,old
stay,5.0,37,False,mid-life
stay,4.0,52,False,mid-life
leave,4.0,71,True,old
leave,4.0,59,True,mid-life
stay,2.0,57,False,mid-life
stay,3.0,76,False,old
leave,5.0,65,True,old
stay,4.0,57,False,mid-life
stay,4.0,67,False,old
leave,5.0,35,True,mid-life
