Price,Mfg_Month,Mfg_Year,KM,Fuel_Type,HP,Met_Color,Automatic,CC,Doors,Cylinders,Weight,Reg_Fee
13500,10,2002,46986,Diesel,90,1,0,2000,3,4,1165,752.0621533534605
13750,10,2002,72937,Diesel,90,1,0,2000,3,4,1165,700.0170165353716
13950,9,2002,41711,Diesel,90,1,0,2000,3,4,1165,729.818124815338
14950,7,2002,48000,Diesel,90,0,0,2000,3,4,1165,760.2411350222633
13750,3,2002,38500,Diesel,90,0,0,2000,3,4,1170,726.31269184022
12950,1,2002,61000,Diesel,90,0,0,2000,3,4,1170,571.4631595749544
16900,6,2002,94612,Diesel,90,1,0,2000,3,4,1245,904.720201134409
18600,3,2002,75889,Diesel,90,1,0,2000,3,4,1245,942.7790105521359
21500,6,2002,19700,Petrol,192,0,0,1800,3,4,1185,1112.1323983962998
12950,10,2002,71138,Diesel,69,0,0,1900,3,4,1105,628.3333446687818
20950,8,2002,31461,Petrol,192,0,0,1800,3,4,1185,1058.4317932053793
19950,11,2002,43610,Petrol,192,0,0,1800,3,4,1185,971.9057109203338
19600,8,2002,32189,Petrol,192,0,0,1800,3,4,1185,956.8178445920965
21500,2,2002,23000,Petrol,192,1,0,1800,3,4,1185,1057.3328539793124
22500,1,2002,34131,Petrol,192,1,0,1800,3,4,1185,1190.2400094379748
22000,5,2002,18739,Petrol,192,0,0,1800,3,4,1185,1150.2940664243401
22750,3,2002,34000,Petrol,192,1,0,1800,3,4,1185,1127.8664932513445
17950,9,2002,21716,Petrol,110,1,0,1600,3,4,1105,883.6336274733732
16750,9,2002,25563,Petrol,110,0,0,1600,3,4,1065,824.5550950947635
16950,3,2002,64359,Petrol,110,1,0,1600,3,4,1105,852.2288912978644
15950,3,2002,67660,Petrol,110,1,0,1600,3,4,1105,816.7038884116774
16950,4,2002,43905,Petrol,110,0,1,1600,3,4,1170,876.4536890185451
15950,5,2002,56349,Petrol,110,1,0,1600,3,4,1120,824.3174804765237
16950,5,2002,32220,Petrol,110,1,0,1600,3,4,1120,828.6744568650631
16250,4,2002,25813,Petrol,110,1,0,1600,3,4,1120,789.1887255880125
15950,8,2002,28450,Petrol,110,1,0,1600,3,4,1120,823.0320060819791
17495,6,2002,34545,Petrol,110,1,0,1600,3,4,1120,881.3960008271132
15750,4,2002,41415,Petrol,110,1,0,1600,3,4,1120,783.4464015190774
16950,5,2002,44142,Petrol,110,0,0,1600,3,4,1120,825.1032237140013
17950,3,2002,11090,Petrol,110,1,0,1600,3,4,1120,940.1070213829627
12950,4,2002,9750,Petrol,97,1,0,1400,3,4,1100,649.8650723705068
15750,11,2002,35199,Petrol,97,1,0,1400,3,4,1100,830.3406978084437
15950,6,2002,29510,Petrol,97,1,0,1400,3,4,1100,770.9712343651934
14950,7,2002,32692,Petrol,97,1,0,1400,3,4,1100,740.5007185193197
